Month,ARR,Budgeted_ARR,ARR_Variance_%,SM_Spend,Budgeted_Spend,Spend_Variance_%,Executive_Commentary
2024-01-01,5837754.6,5604244.42,4.17,41006.73,43057.07,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2024-02-01,5663446.56,5436908.7,4.17,41557.74,43635.63,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2024-03-01,5833132.44,5599807.14,4.17,47214.4,49575.12,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2024-04-01,5962028.28,5723547.15,4.17,49159.55,51617.53,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2024-05-01,6341376.0,6087720.96,4.17,43071.41,45224.98,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2024-06-01,6490586.28,6230962.83,4.17,42512.36,44637.98,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2024-07-01,6822446.76,6549548.89,4.17,40609.39,42639.86,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2024-08-01,6689881.92,6422286.64,4.17,40888.44,42932.86,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2024-09-01,6890882.88,6615247.56,4.17,60249.31,63261.78,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2024-10-01,7120509.0,6835688.64,4.17,41164.17,43222.38,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2024-11-01,6993528.72,6713787.57,4.17,64223.72,67434.91,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2024-12-01,7167959.76,6881241.37,4.17,46164.59,48472.82,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2025-01-01,7523930.64,7222973.41,4.17,44590.87,46820.41,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2025-02-01,7325462.16,7032443.67,4.17,45758.83,48046.77,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2025-03-01,7544143.2,7242377.47,4.17,40909.02,42954.47,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2025-04-01,7320203.28,7027395.15,4.17,49053.7,51506.38,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2025-05-01,7626473.16,7321414.23,4.17,44600.91,46830.96,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2025-06-01,7639125.36,7333560.35,4.17,42996.43,45146.25,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2025-07-01,7828866.72,7515712.05,4.17,44673.29,46906.95,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2025-08-01,8053185.0,7731057.6,4.17,45752.91,48040.56,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2025-09-01,8377036.68,8041955.21,4.17,64269.55,67483.03,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2025-10-01,8236739.52,7907269.94,4.17,46783.46,49122.63,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2025-11-01,8275705.92,7944677.68,4.17,58285.75,61200.04,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
2025-12-01,8448008.76,8110088.41,4.17,46662.58,48995.71,-4.76,"ARR out-performed budget targets by 4.2% due to strong expansion conversions. | Marketing spend was optimized, running 4.8% under budget."
